,store,address,phone
157,남해점,경상남도 남해군 남해읍 화전로48,055-862-1400
158,내곡동점,강원도 강릉시  관대길 70(내곡동),033-643-2808
159,내동2점,대전광역시 서구 동서대로 977,042-527-3111
160,내동점,경기도 부천시오정구 삼작로96번길 21(내동 19-12),032-675-9601
161,내면점,강원도 홍천군  내면읍 창촌로 48,033-432-0418
162,내포1점,충청남도 홍성군 홍북읍  애향2길 2,041-634-8685
163,노량점,경상남도 남해군  설천면 노량로201,055-864-0388
164,노암점,강원도 강릉시  노가니길 32,033-647-8592
165,노은반석점,"대전광역시 유성구 노은서로266번 77, 104호(지상1층)",042-826-9282
166,노학점,강원도 속초시 교동로 55(교동),033-636-5592
167,녹양점,"경기도 의정부시 비우로20번길 29(가능동,지상1층)",031-879-9982
168,논산2점,충청남도 논산시 계백로 1008,041-733-2396
169,논산대교점,충청남도 논산시 대화로133번길 9-5,041-733-9955
170,논산주공점,"충청남도 논산시 논산대로 348번길 7, 상가-101(취암동,주공아파트)",None
171,논현동점,"서울특별시 강남구 강남대로128길 27(논현동, 지상1층 102호)",02-515-5770
172,농암점,경상북도 문경시 농암면 청암2길 10,054-571-3020
173,능곡점,"경기도 고양시덕양구 토당로78번길 7-10, 1층(토당동)",031-974-7747
174,다인점,경상북도 의성군 다인면 서릉길 59,054-861-9988
175,단계점,강원도 원주시 원문로 85 1층(학성동),033-731-9292
176,단계택지점,강원도 원주시 금불3길 32(단계동),033-743-6586
177,단관점,강원도 원주시 단관길 163(관설동),033-763-9289
178,단구점,강원도 원주시 치악로 1629 (단구동),033-763-8929
179,단월동점,경기도 이천시 단월로 29(단월동),031-634-4547
180,달동1점,울산광역시 남구 왕생로100번길 25-1,052-273-9292
181,달동2점,"울산광역시 남구 번영로107번길 3, 203(달동, 주공아파트)",052-269-9959
182,달전점,경상북도 포항시북구 흥해읍 도음로877번길 9 삼도미래타운106-106,010-5153-8732
183,답십리점,"서울특별시 동대문구 전농로3길 52-2, 1층(답십리동)",02-2247-4880
184,당감점,부산광역시 부산진구 당감서로 78,051-898-3392
185,당북점,경상북도 안동시 대안로 65-2,054-842-7474
186,당산동점,서울특별시 영등포구 영중로 114 (영등포동8가),02-2671-5559
187,당수동점,경기도 수원시권선구 당진로 14번길 57 상가 105(당수동),031-419-8450
188,당진1점,충청남도 당진시 당진중앙2로 54-5,041-352-9999
189,당진2점,충청남도 당진시 무수동로 195,041-357-8966
190,당진3점,충청남도 당진시 원당로 55,041-355-4343
191,당진신평점,충청남도 당진시 신평로 827,041-362-9288
192,대강점,충청북도 단양군 대강면 대강로 59-1,043-421-3392
193,대고점,"대전광역시 중구 테미로 31-1(대흥동, 1층)",042-256-6213
194,대광리점,경기도 연천군 신서면 도대로3번길 33,031-834-8009
195,대구고성점,대구광역시 서구 원대로13길 16,053-354-9901
196,대구남산점,대구광역시 중구 남산로2길 13(남산동),053-255-5417
197,대구대명점,대구광역시 남구 두류공원로17길 48,053-656-9515
198,대구상동점,대구광역시 수성구 청수로3길 87,None
199,대구서문점,대구광역시 서구 국채보상로76길 45-6,None
200,대구송정점,대구광역시 동구 반야월로 396,053-964-5592
201,대구신당점,대구광역시 달서구 서당로7길 109,None
202,대구지사, ,"
"
203,대구지산점,대구광역시 수성구 용학로35길 17,053-783-7890
204,대림동산점,경기도 안성시 공도읍 양기길 48 ,031-658-9192
205,대림역점,서울특별시 구로구 구로중앙로8길 17,02-867-8292
206,대림점,서울특별시 영등포구 대림로34길 14-1,02-842-4747
207,대명계대점,대구광역시 남구 중앙대로31길 176,053-219-9992
208,대방동점,서울특별시 동작구 등용로 112-1,02-826-2282
209,대봉점,대구광역시 중구 동덕로6길 12-14,None
210,대산점,충청남도 서산시 대산읍 구진로 61-1,041-664-9400
211,대소점,충청북도 음성군 대소면 오태로99번길 12-4,043-881-8508
212,대신점,경기도 여주시 대신면 여양로 1452,031-884-3669
213,대연점,부산광역시 남구  천제등로28번길50,None
214,대우점,"인천광역시 부평구 길주로394번길 5, 1층102호(산곡동,모모)",None
215,대전옥계점,대전광역시 중구 대종로 59(옥계동),042-272-9292
216,대전용문점,대전광역시 서구 용문로 35-18,042-524-8030
217,대전지사, ,"
"
218,대전터미널점,대전광역시 동구 동서대로1695번길 106,042-631-0666
219,대조동점,서울특별시 은평구 역말로9길 40-1. 1층(대조동),02-355-6360
220,대진점,강원도 고성군 현내면 한나루로 112-1,033-682-0303
221,대천해수욕장점,충청남도 보령시 해수욕장4길 68,041-932-9047
222,대치동점,서울특별시 강남구 남부순환로 2917 (1층 108호),None
223,대학로점,강원도 삼척시  대학로 45(당저동),033-573-4298
224,대화장성점,경기도 고양시일산서구 호수로838번길 22,031-916-1233
225,대화점(강원),강원도 평창군  대화면 대화3길 46,033-333-2001
226,덕산점,충청북도 진천군 덕산면 덕금로 809,043-536-5888
227,덕절리점,경기도 화성시 정남면 발안로 1177,031-373-2660
228,덕천점,경기도 안양시만안구 덕천로128번길 18(안양동),031-444-0406
229,덕풍동점,"경기도 하남시 신장로 104, 1층 (신장동, 성원쌍떼빌)",031-793-9922
230,도계점,"강원도 삼척시  도계읍 도계로 228, 1/3",033-541-6027
231,도고점,충청남도 아산시 도고면 아산만로 162-1,041-544-8746
232,도구점,경상북도 포항시남구 동해면 일월로 116,054-286-2970
233,도당점,경기도 부천시원미구 옥산로 145,032-677-7500
234,도련점,"제주특별자치도 제주시 삼봉로 115, 미듬하나로맨션상가 103호",064-751-9282
235,도림주공점,인천광역시 남동구 논고개로 299,032-434-8292
236,도립대점,강원도 강릉시  주문진읍 연주로 261-1,033-661-7282
237,도마점,대전광역시 서구 도마5길 4,042-522-0704
238,도봉점,"서울특별시 도봉구 도봉로164길 10(도봉동, 1층)",02-955-8695
239,도안지구점,대전광역시 유성구 원신흥남로 11번길 6-22 (102호),042-822-9283
240,도영점,강원도 원주시 남원로 527번길 6-34(명륜동),None
241,도평점,경기도 광주시 초월읍 현산로 89-6,031-768-9266
242,독산3점,서울특별시 금천구 독산로 319 (독산동),02-867-1780
243,동광양점,전라남도 광양시 중마로 201,061-795-8952
244,동대동점,충청남도 보령시 작은오랏2길 60-6,041-936-8866
245,동두천역전점,경기도 동두천시 생연로 120(생연동),031-862-2973
246,동두천터미널점,경기도 동두천시 중앙로265번길 15,031-862-7853
247,동명동점,강원도 속초시 번영로105번길 19(동명동),033-631-2530
248,동명점,경상북도 칠곡군 동명면 봉암1길 7,054-976-4840
249,동백점,경기도 용인시기흥구 동백동 662번지,None
250,동삼점,부산광역시 영도구 태종로 688-2(동삼동),051-405-3377
251,동송점,강원도 철원군  동송읍 금학로 232,033-455-4490
252,동아점,경기도 고양시일산동구 강송로 196 동아아파트상가 1-3,031-902-0203
253,동암남점,인천광역시 부평구 경인로701번길 43 1층,032-421-8180
254,동천동점,경기도 용인시수지구 고기로45번길 58 동문그린아파트 상가101호,031-262-9759
255,동천점,경상북도 경주시 탈해로47번길 6-4,054-773-7731
256,동촌점,대구광역시 동구 해동로 243-1,None
257,동탄1점,"경기도 화성시 동탄지성로 150-9(능동,상가101호)",031-613-0092
258,동탄2점,경기도 화성시 동탄청계로 303-14,None
259,동탄목동점,경기도 화성시 목동 462-4,031-8055-8258
260,동탄반송점,"경기도 화성시 노작로3길 22,1층 일부호(반송동)",None
261,동탄한백점,경기도 화성시 동탄대로24길 117,031-373-9228
262,동해점,강원도 동해시  천곡2길 4(천곡동),033-532-3325
263,두구동점,부산광역시 금정구 체육공원로 618,051-508-0032
264,두정점,충청남도 천안시서북구 부성6길 23,041-556-9933
265,둔덕점,전라남도 여수시 만성로 20,061-651-6641
266,둔산1점,대전광역시 서구 둔산로 201 국화동성@상가 202호,042-482-1872
267,둔산2점,대전광역시 서구 둔산로218번길 29,042-486-1007
268,뚝섬점,서울특별시 광진구 뚝섬로23길 50,02-499-4330
269,레이크타운점,"경기도 안산시단원구 광덕1로 195, 104호",031-406-1111
270,마석점,"경기도 남양주시 화도읍 비룡로 185-20, 210(삼진상가2층)",031-595-8686
271,마송점,경기도 김포시 통진읍 조강로 49,031-988-4443
272,마장점,경기도 이천시 마장면 중앙로6번길 15,031-632-3323
273,마전점,충청남도 금산군 추부면 마전로 55,041-753-7972
274,마천1점,서울특별시 송파구 마천로61길 9(마천동),02-409-0186
275,마평리점,경기도 용인시처인구 금령로 129(마평동),031-335-8542
276,만년점,대전광역시 서구 만년로16번길 27(만년동),042-485-9949
277,만수1점,"인천광역시 남동구 만수서로 97-17, 103호",032-462-2664
278,만수3점,인천광역시 남동구 백범로214번길 6-2,None
279,만수삼환점,인천광역시 남동구 소래로669번길 30 106호,032-465-0892
280,만수주공점,인천광역시 남동구 장승남로34번길 22 상가 111호,032-466-3331
281,만촌점,대구광역시 수성구 국채보상로 1024,053-751-0870
282,망상점,"강원도 동해시  동해대로 6270-16, 1층 111호(망상동)",None
283,망원동점,서울특별시 마포구 방울내로 66,02-337-8060
284,매산점,경기도 수원시팔달구 갓매산로26번길 24,None
285,매송점,경기도 화성시 매송면 화성로2358번길  37,031-294-7696
286,매탄점,경기도 수원시영통구 동수원로514번 15 103호,031-214-9292
287,매화동점,경기도 시흥시 매화1로 21,031-313-2914
288,명곡점,대구광역시 달성군 화원읍 비슬로 2420,053-638-9935
289,명보점,충청북도 제천시 용두천로 112(남천동),043-644-4311
290,명일점,서울특별시 강동구 동남로67길 44(명일동),02-441-4171
291,모가점,경기도 이천시 모가면 진상미로 1257(성광주택),031-633-3663
292,모슬포점,제주특별자치도 서귀포시  ,None
293,모현점,경기도 용인시처인구 모현면 외대로 36,031-339-6860
294,목감점,경기도 시흥시 동서로 1095,031-405-3677
295,목동1점,서울특별시 양천구 목동중앙로 49,02-2642-0177
296,목동3점,"서울특별시 양천구 목동동로 50 A-111(신정동, 목동아파트)",02-2645-3633
297,목동시장점,서울특별시 양천구 목동중앙남로10 7,02-2646-4803
298,목상석봉점,"대전광역시 대덕구 대덕대로1454 11-6(목상동,1층)",None
299,목행점,충청북도 충주시 행정10길 10(목행동),043-853-2900
300,무거1점,울산광역시 남구 신복로23번길 15(무거동),052-225-9200
301,무실점,강원도 원주시 시청로 88-1,033-734-9255
302,무주점,전라북도 무주군 무주읍 향학로 42,063-322-3938
303,묵동점,서울특별시 중랑구 동일로149길 15,02-973-4977
304,묵호점,"강원도 동해시  발한로 137(발한동, 가동)",033-533-1668
305,문경점,경상북도 문경시 문경읍 주흘로 29,054-571-7964
306,문덕점,경상북도 포항시남구 오천읍 해병로 405 청호아파트상가 101호  ,054-292-1236
307,문막점,강원도 원주시 문막읍 문막시장1길 55-2,033-735-0909
308,문산점,"경기도 파주시 문산읍 문향로 82,  102호",031-952-2781
309,문정점,"서울특별시 송파구 송이로33길 6-17(문정동, 지상1층)",02-408-5797
310,문촌점,경기도 고양시일산서구 대산로 183,031-913-9292
311,문학점,"인천광역시 미추홀구 승학길 4(문학동, 101호)",032-422-6892
312,문화동점,충청북도 충주시 사직산1길 15-11(문화동),043-853-7204
313,문화점,대전광역시 중구 보문산로161번 61,None
314,미금점,경기도 성남시분당구 미금일로 55 상가동108호,031-714-7463
315,미룡산북점,전라북도 군산시 부곡로 125(미룡동),063-465-8388
316,미사1점,"경기도 하남시 미사강변중앙로 223, 113호 (망월동, 센트럴파크1)",031-795-3792
317,미아점,서울특별시 강북구 도봉로29길 10 1층,02-985-1145
318,미원점,충청북도 청주시상당구 미원면 미원시내2길 19-3,043-298-3993
319,민락점,경기도 의정부시 오목로 99,031-851-4749
320,박달동점,경기도 안양시만안구 박달로 471,031-447-3131
321,반구점,울산광역시 중구 화합로 403 (반구동),052-293-9999
322,반달마을점,경기도 부천시원미구 상일로 69 1층,032-323-9292
323,반송2점,부산광역시 해운대구 반송로924번길 27-2,051-543-5531
324,반월점,전라북도 전주시덕진구 반월3길 19 (반월주공아파트상가 104호),063-213-8292
325,발산동점,서울특별시 강서구 우장산로 9(내발산동),02-3664-0907
326,방어진점,울산광역시 동구 화문로 75,052-201-4730
327,방이2점,"서울특별시 송파구 오금로23길 25, 나동 1층 (방이동)",02-423-8587
328,방화1점,서울특별시 강서구 양천로11길 8(방화동 487-8 1층),02-2663-2224
329,방화2점,"서울특별시 강서구 방화동로 116-1(방화동, 1층)",02-2666-9992
330,배곧1점,경기도 시흥시 서울대학로278번길 25-8,031-431-2024
331,배방점,충청남도 아산시 배방읍 모산로 172,041-548-1258
332,배시내점,경상북도 김천시 감문면 배시내길14,054-431-5425
333,백련시장점,서울특별시 서대문구 증가로 135(남가좌동),02-376-3604
334,백사점,경기도 이천시 백사면 현방로 78-2,031-632-4462
335,백암점,경상북도 울진군 온정면 소태로 3,054-787-2466
336,백양사점,전라남도 장성군 북하면 백양로 904,None
337,백천점,경상북도 경산시 백천동 경청로219길 4-6 108호 ,None
338,백학점,경기도 연천군 백학면 백두길 69-4,031-835-8669
339,번동점,서울특별시 강북구 오현로32길 4-3 1층 5호,02-986-9200
340,번영점,충청남도 공주시 관골1길 24-14 1층 2호,041-856-9533
341,범서점,울산광역시 울주군 범서읍 점촌5길 37,052-245-2580
342,범어점,경상남도 양산시 물금읍 동중5길22,055-383-8897
343,범어B점,대구광역시 수성구 동대구로77길 24,None
344,법1동점,대전광역시 대덕구 계족로 663번길 30,042-673-4700
345,법2동점,대전광역시 대덕구 계족산로17번길 81,042-631-0606
346,법원점,경상북도 포항시북구 장량중앙로 84,054-231-9998
347,별내점,경기도 남양주시 별내중앙로 26,031-574-2777
348,병영점,울산광역시 중구 병영로 80,052-292-5255
349,병점점,경기도 화성시 병점로 58(병점동),031-236-9245
350,병천점,충청남도 천안시동남구 병천면 아우내장터2길 46,041-564-9199
351,보개점,경기도 안성시 보개면 남사당로 1-3,031-674-5882
352,보광2점,"서울특별시 용산구 장문로6길 101, 지상1층(동빙고동 1-9)",02-790-6161
353,보라점,경기도 용인시기흥구 사은로 116,031-287-2884
354,보령웅천점,충청남도 보령시 웅천읍 충서로 872,041-931-3052
355,보은점,충청북도 보은군 보은읍 삼산로 31,043-543-1655
356,복대점,충청북도 청주시흥덕구 복대로 199번길 3,043-265-2450
357,복수점,대전광역시 서구 복수북로 61,042-584-7308
358,본리점,대구광역시 달서구 대명천로42길 26,None
359,본오2점,경기도 안산시상록구 각골로 123,031-416-4066
360,봉곡점,경상북도 구미시 봉곡남로9길 35,None
361,봉담와우리점,경기도 화성시 봉담읍 와우로15번길 55-9 효성@상가1층,031-222-0147
362,봉담점,경기도 화성시 봉담읍 진등1길 57-1,031-298-9966
363,봉덕2점,대구광역시 남구 대봉로 35,053-476-4819
364,봉동주공점,전라북도 완주군 봉동읍 낙평리 1245 104호,None
365,봉산점,강원도 원주시 치악로 1867 (봉산동),033-743-2877
366,봉암리점,경기도 양주시 은현면 은현로 521,031-864-7255
367,봉일천점,경기도 파주시 조리읍 두루봉로 5,031-945-5130
368,봉천현대점,"서울특별시 관악구 양녕로 35-1, 1층(봉천동)",02-873-6430
369,봉평점,강원도 평창군  봉평면 기풍3길 28,033-336-9282
370,봉화점,경상북도 봉화군 봉화읍 내성리 236-17,054-672-0909
371,부강점,세종특별자치시  부강면 부강2길 11,044-275-0514
372,부개주공점,"인천광역시 부평구 부개로 79, (부개동,부개택지개발1블럭)",032-361-0097
373,부곡점(안산),"경기도 안산시상록구 성호로 258, 안산제2종합시장 1003호",031-416-7532
374,부곡점(의왕),경기도 의왕시 솔밭길 31,031-461-9292
375,부발점,경기도 이천시 부발읍 무촌로 137,031-634-6204
376,부산신평점,부산광역시 사하구 다대로142번길 130(신평동),051-207-6551
377,부산지사, ,"
"
378,부석점,경상북도 영주시 부석면 소천리 381-7,054-633-3132
379,부송점,전라북도 익산시 부송1로 65,063-832-9292
380,부안점,강원도 춘천시 후석로 261(후평동),033-256-4825
381,부여점,충청남도 부여군 부여읍 성왕로 173번길 12,041-833-2777
382,부평점,"인천광역시 부평구 부평문화로115 번길7, 1층(부평동)",032-516-8292
383,북가좌1점,"서울특별시 서대문구 증가로20길 71, 1층(북가좌동)",02-372-1600
384,북가좌2점,서울특별시 서대문구 거북골로 148(북가좌동),02-375-7283
385,북내점,경기도 여주시 북내면  여양2로 267,031-884-4070
386,북문점,경기도 수원시장안구 팔달로259번길 9,031-255-7217
387,북변점,"경기도 김포시 봉화로182번길 29, 113호",031-982-4560
388,북부점(경주),경상북도 경주시 북성로 96,054-743-6410
389,북삼점,경상북도 칠곡군 북삼읍 평원2길 15,None
